Código,Valor
6A323D,5000
ABC2A5,5000
A895B2,5000
FFF476,5000
F3D31F,5000
4ED3CF,5000
DF3DDB,5000
A9B792,5000
461C45,5000
8E631C,5000
3B4B1E,3000
60365B,3000
D13CEE,3000
9764ED,3000
62738E,3000
67E762,3000
CF1E65,3000
3B821D,3000
E3C12C,3000
4FCA88,3000
5EE237,3000
ED6E12,3000
235FAF,3000
E072CC,3000
78AC63,3000
3B506C,3000
AD219C,3000
E64524,3000
3126F2,3000
E41655,3000
19910C,2000
2AFA91,2000
425F30,2000
1B9044,2000
957BCD,2000
F651D2,2000
F4859D,2000
3DCF2C,2000
48969B,2000
C6637D,2000
C5D038,2000
7CDAD2,2000
4620FC,2000
DE673B,2000
968D0E,2000
C169FA,2000
DD2C5D,2000
F8E5BC,2000
520829,2000
39545F,2000
17B204,2000
4CAD97,2000
49C6FF,2000
122292,2000
6F4C7F,2000
B3B764,2000
8DD2CB,2000
C8A07F,2000
089D94,2000
FF8270,2000
047BF6,2000
1ECAE1,2000
58E94F,2000
9C9C7C,2000
E3AF3F,2000
10320F,2000
8DE1C2,2000
3B659D,2000
6951E2,2000
A69879,2000
5691EA,2000
A960E3,2000
B42B94,2000
378D82,2000
089683,2000
2BA539,2000
B7268B,2000
4FE830,2000
734FC4,2000
96487E,2000
9E5276,1500
235DC3,1500
352DB1,1500
341F32,1500
DEE021,1500
270E4F,1500
202C6E,1500
8D461E,1500
359EB5,1500
E7B8E8,1500
AD5BAD,1500
AA0DC5,1500
D611C1,1500
7457B9,1500
7077A7,1500
3D671A,1500
26BFFA,1500
4B9FC2,1500
896202,1500
403B53,1500
3C7CB4,1500
4C3530,1500
95674F,1500
F44835,1500
019471,1500
FA2663,1500
3929EC,1500
B72029,1500
085910,1500
E1927C,1500
57D3C1,1500
4EB34A,1500
758228,1500
EB56C9,1500
1D0EA9,1500
B3A023,1500
1BBC9A,1500
E7A19C,1500
1FE3F4,1500
348E17,1500
B582EC,1500
C16ECB,1500
318DD9,1500
02B67D,1500
A0EE7C,1500
5CE4C2,1500
1D0028,1500
FB5B97,1500
814FDB,1500
5A3CB6,1500
0DD2E3,1500
85AB92,1500
07BCCE,1500
19D7ED,1500
629F0C,1500
D3B9FA,1500
6FB6E3,1500
B52B4E,1500
E28717,1500
3048E0,1500
895A52,1500
88586C,1500
7A9FB2,1500
B70A76,1500
5A9586,1500
2A78A9,1500
F0CA60,1500
F7FFF3,1500
9EA6CA,1500
8E7BAA,1500
AACC3E,1500
E07879,1500
939B12,1500
BB776A,1500
8319EF,1500
B44E84,1500
DF87D1,1500
EAFE18,1500
22B1F7,1500
1224BA,1500
617E42,1500
D95480,1500
7AC82A,1500
895564,1500
00DCCC,1500
2A2F4C,1500
339D0D,1500
87EC99,1500
526054,1500
101D59,1500
C53821,1500
204CFB,1500
8A0974,1500
40C9FD,1500
A63B23,1500
97F10D,1500
922F32,1500
DBDADA,1500
390630,1500
5EBC1E,1500
FFF0D9,1500
24130C,1500
ABC685,1500
A21E96,1500
3CBABF,1500
0C340F,1500
04028F,1500
1C4BB0,1500
423119,1500
951FF4,1500
11A892,1500
D3A718,1500
C69D04,1500
0F10F4,1500
6F334D,1500
AA4830,1500
58363D,1500
DF99C2,1500
27EF78,1500
2B44CD,1500
48B2FA,1500
82AF07,1500
295427,1500
7656BD,1500
4624F8,1500
5546A2,1500
B6B803,1500
499F4A,1500
5038C4,1500
5D2FD7,1500
BFB415,1500
354D89,1500
ED6D15,1500
CAC960,1500
4F9A33,1500
99E8C3,1500
2947BB,1500
BBE452,1500
6D37AF,1500
F9F278,1500
6F2F36,1500
9D0324,1500
409866,1500
E41B19,1500
C41656,1500
426B7A,1500
B5F543,1500
EE069E,1500
294F57,1500
767DB8,1500
8220C1,1500
E2C3A5,1500
EC7A4C,1500
E17F76,1500
7A8C46,1500
3C8A99,1500
7CE5E7,1500
06A6C5,1500
93C11E,1500
E789D8,1500
5DCB25,1500
999C4C,1500
494C67,1500
E6FF62,1500
5C5B5A,1500
A87570,1500
C5BD43,1500
50BF13,1500
64781A,1500
3028F1,1500
478860,1500
1BEB21,1500
A4610C,1500
677704,1500
875616,1500
ED5596,1500
131292,1500
B25904,1500
D56A02,1500
4E6061,1500
8E2674,1500
015ABE,1500
F1C64A,1500
6B5E65,1500
4C50B1,1500
CA2381,1500
701750,1500
FA66B9,1500
A91617,1500
8DFFA3,1500
44FC0D,1500
B9C5D8,1500
AF6DC2,1500
075E77,1500
9E8E30,1500
8443B9,1500
B67E8E,1500
DD7B81,1500
CC819F,1500
E55A0A,1500
041C0D,1000
B00A33,1000
428877,1000
AACD7B,1000
BB1107,1000
F5CB74,1000
48AB00,1000
680D31,1000
7978EB,1000
AA92AC,1000
67E442,1000
83CE79,1000
C0AEE8,1000
402AE4,1000
4DA083,1000
65E98E,1000
0BB055,1000
235027,1000
8E47B7,1000
203DCF,1000
124829,1000
95C7FB,1000
4EBFD3,1000
27FB49,1000
5EBD5B,1000
5084B2,1000
A3FDD3,1000
B80C33,1000
1945DC,1000
BCFD44,1000
E2B570,1000
BFC8DF,1000
1F7DE7,1000
A479F5,1000
BB441A,1000
C243F1,1000
17E068,1000
60381C,1000
898F03,1000
090D7F,1000
054326,1000
B77CDA,1000
AB6F45,1000
F49020,1000
323785,1000
4A5C09,1000
51EF3B,1000
01A0F0,1000
8AD61D,1000
4862F2,1000
22783F,1000
F96E5D,1000
863730,1000
BAF787,1000
24C63D,1000
F23FAB,1000
A55EF3,1000
8A9AEA,1000
1DD63E,1000
693EB6,1000
